"","SLA.13.comps"
"Wave_1094",47.8131260137876
"Wave_1095",51.3512651492953
"Wave_1096",55.4244552157557
"Wave_1097",59.4709650064743
"Wave_1098",62.6378174206112
"Wave_1099",64.3056993709505
"Wave_1100",65.4806329945298
"Wave_1101",66.8628926267008
"Wave_1102",68.1687621390021
"Wave_1103",70.2803737771492
"Wave_1104",72.6820705000033
"Wave_1105",74.3883965949823
"Wave_1106",76.6336378993486
"Wave_1107",80.1077925572005
"Wave_1108",82.4911312137085
"Wave_1109",85.1587086925888
"Wave_1110",86.5079300137529
"Wave_1111",86.8971503575187
"Wave_1112",86.5229689649379
"Wave_1113",86.6278843247699
"Wave_1114",87.7982909354311
"Wave_1115",90.0478285366893
"Wave_1116",91.9091574747251
"Wave_1117",93.3649400934945
"Wave_1118",93.819693554473
"Wave_1119",92.7728912478251
"Wave_1120",91.9478490301429
"Wave_1121",90.8512405621297
"Wave_1122",89.6481932939021
"Wave_1123",88.9713459497615
"Wave_1124",89.2773506099806
"Wave_1125",88.3357402289938
"Wave_1126",86.963250890511
"Wave_1127",85.9501589825096
"Wave_1128",83.9518668219236
"Wave_1129",81.8907455899911
"Wave_1130",80.7622419653033
"Wave_1131",79.2424087579319
"Wave_1132",77.2405432708598
"Wave_1133",75.4063670667463
"Wave_1134",73.1246254273816
"Wave_1135",70.5833215116567
"Wave_1136",69.2781799246428
"Wave_1137",67.4749041079059
"Wave_1138",65.0041256199147
"Wave_1139",62.2259923158889
"Wave_1140",59.5191371454364
"Wave_1141",55.9319984026691
"Wave_1142",52.6841951434904
"Wave_1143",50.9757444201856
"Wave_1144",49.1860025705344
"Wave_1145",48.3322593423251
"Wave_1146",48.3649602631428
"Wave_1147",47.7987116086913
"Wave_1148",47.1815729408889
"Wave_1149",46.2732485075901
"Wave_1150",45.3727213852339
"Wave_1151",44.5141225740757
"Wave_1152",44.0188081641905
"Wave_1153",42.7143873951645
"Wave_1154",40.8138443899175
"Wave_1155",39.1817974839165
"Wave_1156",37.3475014329418
"Wave_1157",35.6124080250776
"Wave_1158",33.8818914173286
"Wave_1159",32.5239810003937
"Wave_1160",31.3091120110188
"Wave_1161",29.4566817956882
"Wave_1162",27.8599531929193
"Wave_1163",25.8095967802049
"Wave_1164",23.2243435685488
"Wave_1165",20.7079926603091
"Wave_1166",18.152588276852
"Wave_1167",15.4682890575937
"Wave_1168",13.2054978861396
"Wave_1169",10.7987985316464
"Wave_1170",8.88977188900208
"Wave_1171",6.96084093968828
"Wave_1172",5.93065263429585
"Wave_1173",5.48434428315298
"Wave_1174",5.44254314658744
"Wave_1175",6.32203431160887
"Wave_1176",7.33631463841382
"Wave_1177",7.39631604429491
"Wave_1178",7.16178081833047
"Wave_1179",5.22833531958478
"Wave_1180",2.44879245833483
"Wave_1181",0.275703026501436
"Wave_1182",-2.51012275828336
"Wave_1183",-4.68727565131887
"Wave_1184",-6.59339515259259
"Wave_1185",-7.93755204829329
"Wave_1186",-9.09252100614148
"Wave_1187",-10.0527159316674
"Wave_1188",-10.1400354706784
"Wave_1189",-10.5655011704235
"Wave_1190",-11.0344719561418
"Wave_1191",-11.3113716190365
"Wave_1192",-12.4008639910791
"Wave_1193",-13.9199752120921
"Wave_1194",-15.2712412495865
"Wave_1195",-17.1677799653105
"Wave_1196",-18.7305338605107
"Wave_1197",-19.6411163577295
"Wave_1198",-20.8612802033561
"Wave_1199",-22.6705625168662
"Wave_1200",-23.3687454025214
"Wave_1201",-23.5115580922172
"Wave_1202",-23.7607278058355
"Wave_1203",-24.0236809290476
"Wave_1204",-23.2503238146058
"Wave_1205",-21.4591099125997
"Wave_1206",-20.2290030533957
"Wave_1207",-18.4937737653852
"Wave_1208",-16.5985778599376
"Wave_1209",-15.8350774075144
"Wave_1210",-15.7618606826045
"Wave_1211",-14.7559822157772
